feature,label
"[0.11748328059911728, 0.2982020378112793, 0.1320517510175705, 0.016093669459223747, 0.16022612154483795, -0.6534555554389954, -0.4913378059864044, -0.5552417039871216, -0.36523211002349854, -0.4457181990146637, -0.7726234793663025, 1.1629126071929932, 0.8206619024276733, -1.3632643222808838, -0.9032220840454102, 0.3419286906719208, -0.07528089731931686, 0.6434732675552368, 0.5290119647979736, -0.81624835729599, -1.3966189622879028, 0.379088431596756, 0.4154108762741089, -0.845849871635437, -0.32518497109413147, 0.47892630100250244, 0.8050615191459656, -0.8291614055633545, 1.3043283224105835, -0.9046852588653564, 0.7267645001411438, -1.0686777830123901, 0.8369526863098145, -0.4519001841545105, 0.20071987807750702, -0.754444420337677, 0.11203867197036743, -0.07436700165271759, 0.5915220379829407, -0.21779784560203552, 1.1161690950393677, 0.8390470743179321, 0.2760985493659973, 0.05299120768904686, 0.9690325260162354, 0.23935092985630035, 1.3226866722106934, -0.311352014541626, -0.5403938889503479, 0.7970960736274719]",0
"[0.11748328059911728, 0.2982020378112793, 0.1320517510175705, 0.016093669459223747, 0.16022612154483795, -0.6534555554389954, -0.4913378059864044, -0.5552417039871216, -0.36523211002349854, -0.4457181990146637, -0.7726234793663025, 1.1629126071929932, 0.8206619024276733, -1.3632643222808838, -0.9032220840454102, 0.3419286906719208, -0.07528089731931686, 0.6434732675552368, 0.5290119647979736, -0.81624835729599, -1.3966189622879028, 0.379088431596756, 0.4154108762741089, -0.845849871635437, -0.32518497109413147, 0.47892630100250244, 0.8050615191459656, -0.8291614055633545, 1.3043283224105835, -0.9046852588653564, 0.7267645001411438, -1.0686777830123901, 0.8369526863098145, -0.4519001841545105, 0.20071987807750702, -0.754444420337677, 0.11203867197036743, -0.07436700165271759, 0.5915220379829407, -0.21779784560203552, 1.1161690950393677, 0.8390470743179321, 0.2760985493659973, 0.05299120768904686, 0.9690325260162354, 0.23935092985630035, 1.3226866722106934, -0.311352014541626, -0.5403938889503479, 0.7970960736274719]",0
"[0.009224186651408672, 0.3121549189090729, 0.09073376655578613, -0.33062073588371277, 0.0691053494811058, -0.49321386218070984, -0.33099043369293213, -0.1558334231376648, -0.280953586101532, -0.24342545866966248, -0.3417070508003235, 0.6110818386077881, 0.8316773176193237, -0.6794440746307373, -0.9211109280586243, 0.5020424127578735, -0.31927812099456787, 0.43003860116004944, 0.4713779091835022, -0.3565739393234253, -1.1792771816253662, 0.07835391908884048, 0.4808240234851837, -0.3678062856197357, -0.36853909492492676, 0.37476563453674316, 0.6266152858734131, -0.4111548364162445, 0.8141571879386902, -0.9883739352226257, 0.25694534182548523, -0.8488767743110657, 0.49127423763275146, 0.07638809829950333, 0.028314463794231415, 0.05097968503832817, 0.4795584976673126, -0.22923262417316437, 0.27807316184043884, -0.06855621933937073, 0.5996962189674377, 0.6856333613395691, 0.50266033411026, 0.37149521708488464, 0.4519558250904083, -0.06960277259349823, 1.1015710830688477, -0.055706799030303955, -0.4667007029056549, 0.47494420409202576]",0
"[-0.17861497402191162, -0.27554747462272644, 0.215519979596138, 0.7096735239028931, 0.4621298015117645, -0.9029244780540466, -0.47230619192123413, 0.9320927262306213, -0.35301315784454346, -0.2022799551486969, -0.18048670887947083, 0.01784098520874977, -0.00995715893805027, -0.1368924379348755, -0.7373693585395813, -0.73933345079422, -0.6296263933181763, -0.2835864722728729, 0.8017911314964294, 0.18913988769054413, -0.3000267744064331, 0.1264784187078476, 0.5034120678901672, 0.1932366043329239, -0.6138874292373657, 0.22849828004837036, -0.2754459083080292, -0.09436263889074326, 0.6349135041236877, 0.11961542069911957, -0.2002730667591095, -0.19711878895759583, 1.1223487854003906, 0.24750028550624847, -0.4941791892051697, 0.5930532813072205, -0.23911221325397491, 0.1261475533246994, 0.0758051648736, 0.4335751235485077, -0.7943263053894043, -0.25640976428985596, -1.298341155052185, 0.6199289560317993, 0.7147853374481201, -0.2769210934638977, 1.2224903106689453, -0.16174107789993286, -0.30452436208724976, 0.5643180012702942]",0
"[-0.1043095514178276, 0.26099491119384766, -0.17488467693328857, -0.3773826062679291, -0.02944585680961609, -0.4834667444229126, -0.04289610683917999, 0.20793096721172333, -0.34639179706573486, -0.4652210474014282, -0.10379475355148315, 0.25550577044487, 0.759936511516571, -0.05963223800063133, -0.9315587878227234, 0.34749871492385864, -0.6579490900039673, 0.34035027027130127, 0.6381321549415588, -0.007641787175089121, -0.930958092212677, -0.06135587394237518, 0.5408769249916077, -0.02574475109577179, -0.40412071347236633, 0.3721802532672882, 0.5143387913703918, -0.222108855843544, 0.5714688301086426, -1.0394951105117798, -0.06730255484580994, -0.7316051721572876, 0.09843653440475464, 0.4634576737880707, 0.026158103719353676, 0.42481115460395813, 0.5584916472434998, -0.18274761736392975, -0.146073579788208, -0.29872238636016846, 0.35234352946281433, 0.5244888663291931, 0.5014063715934753, 0.5235687494277954, 0.20321780443191528, -0.35645443201065063, 0.7003074288368225, 0.0673922747373581, -0.26616811752319336, 0.19910499453544617]",0
"[0.056497737765312195, 0.31463122367858887, -0.08859769254922867, -0.4649878144264221, 0.06196999177336693, -0.5371830463409424, -0.40119102597236633, 0.08844269067049026, -0.1451062560081482, -0.09440676122903824, 0.052670206874608994, 0.6017806529998779, 0.7071274518966675, -0.424164354801178, -0.927474319934845, 0.3445582687854767, -0.6332746148109436, 0.3879445493221283, 0.37678584456443787, -0.2416166216135025, -0.9945898056030273, -0.269571453332901, 0.495547890663147, -0.3860155940055847, -0.33199822902679443, 0.38390326499938965, 0.40323972702026367, -0.3283757269382477, 0.7611832618713379, -0.8877316117286682, -0.03495664522051811, -0.7184396982192993, 0.23872387409210205, 0.16207173466682434, -0.053112104535102844, 0.49607712030410767, 0.5034672617912292, -0.29494741559028625, 0.10383331775665283, 0.062499627470970154, 0.2655569911003113, 0.7739076018333435, 0.3784794807434082, 0.6438658237457275, 0.34542039036750793, -0.02991177886724472, 0.8946074843406677, -0.031113049015402794, -0.5661948323249817, 0.3715730309486389]",0
"[0.11748328059911728, 0.2982020378112793, 0.1320517510175705, 0.016093669459223747, 0.16022612154483795, -0.6534555554389954, -0.4913378059864044, -0.5552417039871216, -0.36523211002349854, -0.4457181990146637, -0.7726234793663025, 1.1629126071929932, 0.8206619024276733, -1.3632643222808838, -0.9032220840454102, 0.3419286906719208, -0.07528089731931686, 0.6434732675552368, 0.5290119647979736, -0.81624835729599, -1.3966189622879028, 0.379088431596756, 0.4154108762741089, -0.845849871635437, -0.32518497109413147, 0.47892630100250244, 0.8050615191459656, -0.8291614055633545, 1.3043283224105835, -0.9046852588653564, 0.7267645001411438, -1.0686777830123901, 0.8369526863098145, -0.4519001841545105, 0.20071987807750702, -0.754444420337677, 0.11203867197036743, -0.07436700165271759, 0.5915220379829407, -0.21779784560203552, 1.1161690950393677, 0.8390470743179321, 0.2760985493659973, 0.05299120768904686, 0.9690325260162354, 0.23935092985630035, 1.3226866722106934, -0.311352014541626, -0.5403938889503479, 0.7970960736274719]",0
"[-0.47365817427635193, 0.20844967663288116, -0.23012205958366394, 0.23810400068759918, -0.23829728364944458, -0.7778182029724121, 0.5558347105979919, 0.11570961773395538, -0.4399496614933014, -1.0814461708068848, -0.5945417284965515, -0.1459370255470276, 1.0479323863983154, -0.15054789185523987, -0.8988431692123413, 0.43473172187805176, -0.639748752117157, 0.4642382264137268, 1.0672458410263062, 0.2927849590778351, -0.8995653390884399, 0.7808396816253662, 0.46899542212486267, 0.3967841565608978, -0.5804347991943359, 0.5831777453422546, 0.8849408626556396, -0.41314250230789185, 0.4900178015232086, -1.069443941116333, 0.6161569952964783, -1.208560824394226, 0.043924730271101, 0.5345575213432312, 0.37958911061286926, -0.13629920780658722, 0.4065173268318176, -0.16433411836624146, -0.28076088428497314, -0.9338286519050598, 1.1465277671813965, 0.37379854917526245, 0.37593165040016174, 0.14830945432186127, 0.30656689405441284, -0.8316733241081238, 0.3682597279548645, 0.005770320538431406, 0.44712111353874207, 0.16041041910648346]",0
"[-0.44578900933265686, 0.1637086123228073, -0.32703015208244324, 0.2625315487384796, -0.321132630109787, -0.6388497352600098, 0.8416240215301514, 0.3675956428050995, -0.629266619682312, -1.4498440027236938, -0.6001725792884827, -0.44336265325546265, 1.1048048734664917, 0.12484783679246902, -0.9447634220123291, 0.3791584074497223, -0.5942357778549194, 0.4544616639614105, 1.2596253156661987, 0.5949551463127136, -0.8494910597801208, 0.7033863067626953, 0.5721617341041565, 0.8030784130096436, -0.5536656975746155, 0.6212593913078308, 0.7938660383224487, -0.21845801174640656, 0.4653334319591522, -1.1624153852462769, 0.38272589445114136, -1.0195584297180176, -0.0624871589243412, 0.9667720794677734, 0.41730207204818726, -0.019519368186593056, 0.6185948252677917, -0.1177186369895935, -0.5664541721343994, -0.9940059185028076, 0.9137960076332092, -0.020703278481960297, 0.6900944709777832, 0.1632620245218277, 0.21928051114082336, -1.2890926599502563, 0.27099373936653137, 0.05204230174422264, 0.4968428909778595, -0.15205739438533783]",0
"[0.034071680158376694, 0.271814227104187, -0.0011799319181591272, -0.5082776546478271, 0.10652174800634384, -0.44854846596717834, -0.25154951214790344, 0.11734113842248917, -0.2883875370025635, -0.22405657172203064, -0.09617365896701813, 0.5116525888442993, 0.6784087419509888, -0.1867665946483612, -1.0181442499160767, 0.3151502311229706, -0.5310639142990112, 0.30369001626968384, 0.4126609265804291, -0.28521350026130676, -1.0538526773452759, -0.2720351219177246, 0.5899419188499451, -0.3817986249923706, -0.37416329979896545, 0.2964114844799042, 0.43348222970962524, -0.31498774886131287, 0.677283525466919, -1.004332184791565, -0.11287160962820053, -0.6961484551429749, 0.2245396077632904, 0.2727918326854706, -0.049038100987672806, 0.4519799053668976, 0.4906615912914276, -0.17857514321804047, 0.014233383350074291, -0.08236318826675415, 0.28096848726272583, 0.5034471750259399, 0.5276403427124023, 0.5850074291229248, 0.267954021692276, -0.18935106694698334, 0.926067054271698, -0.0007829696987755597, -0.5599715113639832, 0.4200124442577362]",0
